model,epoch,train_loss,train_acc,test_loss,test_acc
nn.LSTM,17,0.003456,0.999531,2.205489,0.687617
nn.LSTM,18,0.003724,0.999531,2.064448,0.683865
nn.LSTM,19,0.010453,0.997421,1.949694,0.681989
nn.LSTM,20,0.037960,0.990270,1.683537,0.711069
nn.GRU,1,0.691436,0.511020,0.692454,0.500938
nn.GRU,2,0.682165,0.532591,0.692189,0.501876
nn.GRU,3,0.393547,0.843962,0.605245,0.692308
nn.GRU,4,0.176097,0.946542,0.625117,0.710131
nn.GRU,5,0.065156,0.980774,0.746496,0.731707
nn.GRU,6,0.029674,0.991911,0.945307,0.727017
nn.GRU,7,0.017769,0.995076,1.088387,0.727017
nn.GRU,8,0.011297,0.997304,1.274926,0.712008
nn.GRU,9,0.012053,0.996717,1.277684,0.731707
nn.GRU,10,0.010037,0.997538,1.425423,0.726079
nn.GRU,11,0.008067,0.998242,1.346446,0.733583
nn.GRU,12,0.008951,0.997538,1.331434,0.724203
nn.GRU,13,0.003390,0.999414,1.443097,0.731707
nn.GRU,14,0.005307,0.998476,1.539348,0.720450
nn.GRU,15,0.007009,0.998007,1.666983,0.724203
nn.GRU,16,0.007118,0.997421,1.521720,0.725141
nn.GRU,17,0.006901,0.998124,1.506692,0.723265
nn.GRU,18,0.001020,0.999883,1.618010,0.730769
nn.GRU,19,0.002706,0.999297,1.755532,0.723265
nn.GRU,20,0.006692,0.998124,1.381702,0.740150
